"User","Location","Date of Review","Review Title","Review"
"Janna Michelle B"," ","October 23, 2016","Craving for fruits? No problem","If you are visiting Davao City, Magsaysay Park is a place to be. It is place in the city where you can buy and eat different fruits. The fruits usually sold in this place are mangosteen, durian, lanzones and langka. However, the prices of these fruits depend on their season. If the fruit is said to be ""in season"", then the price might be lower than those times when it is not in season."
"musickaren","Mandaluyong, Philippines","August 25, 2016","lots of fruits especially durian and mangosteen","went there during kadayawan festival and the fruits are overflowing. affordable and fresh too. they are located just right outside the magsaysay park area, in front of the chinatown arc. there's a big label so it's easy to spot it. and the smell of fruits will lead you there for sure."
"Erin M","Manila, Philippines","August 21, 2016","Typical Tourist Place","I've tried a couple of markets here in Davao for the fruits I have to bring back home and Magsaysay Park was the most commonly recommended one. Finally got to try it on my trip now, unfortunately though, this is my least favorite place. Not sure if it's because of the crowd or the ""tourist trap"" vibe it gives out. There are a few who beg for money and a couple of jewelry sellers bugging you to buy their goods. They also dont seem too knowledgable on packaging the fruits for a flight back to Manila. If you want to shop in peace and get the complete packaging for your fruits (esp. Durians), i would suggest to go to Bankerohan instead. Also, I thought the durians i got were a steal already but my driver told me i could have gotten it cheaper elsewhere (Bankerohan ). But at least i finally got to go there. "
"Dale C"," ","July 30, 2016","Different choices","Went to this place to eat their durian. This place has a lot of fruits and different local delicacies to choose from."
"Lawrence A","Quezon City, Philippines","July 24, 2016","Pasalubong","It was in this place that I first tasted Durian. And it was delicious. There's also a park nearby where you and your friends can stroll."
"daveholden","Lake Forest, California","May 29, 2016","You will love all of the fruit choices!","The fruit here in Mindanao is spectacular and these fruit stands represent the best of the best! You can find anything you would like here and try some new fruits that you have never tried before."
"SherwinJoseph","Luzon, Philippines","April 15, 2016","Fruits and local tastes","Magsaysay Ave in Davao City will delight Durian lovers. There are fruit and food stalls along the avenue. You have choices.   Fruits available are mangosteen, durian, and other fruits in season.  This place is recommended for fruit lovers. Surely, you'll find something to eat.   Also, there are restaurant where you can dine. "
"kenlovekona","Captain Cook, Hawaii","March 18, 2016","great experience","Great experience even for the most experience tropical fruit expert. (It's my job). There are a few things too be careful of. There are many many beggars and usually the stall keepers will shoo them away but becareful when you put things down. Do not be afraid to try durian. There are many types and not al smell bad. Try pummelo, the ancestor of the grapefruit. Enjoy from 630 in the monring to avoid crowds and traffic."
"edinstk","California","January 26, 2016","Durian a new a different experience!","Local Fruit in abundance: Langka, Pomelo, Rubatan, Lanzones. Recommend early morning arrival to try Durian. Amazing to watch staff open up a Durian in seconds. I didn't find the smell at all difficult but the texture, color, mushiness, makes it an experience to try. I found the fruit to actually be flavorful just don't look at it. The smell of durian in the later part of the day however a bit arresting."
"Myrhael A"," ","January 23, 2016","I eat this","I eat this thing, and it's not so bad at all You should try this ;) They really have a lot of this , i forgot the name how they call that. By the way enjoy."
"David B","Pasay","January 10, 2016","touristy, but a must-try","if you love durian, then you don't need any convincing to try this. coke paired with durian while traffic buzzes behind you is something one must experience in davao. if you don't like durian, then perhaps a sampling of the different vareties might convince you otherwise. ask for the yellow cob and arancilla varieties"
"daveholden","Lake Forest, California","October 29, 2015","Unbelievable fruits to see! ","This is really worth experiencing for the sheer delight of seeing all the strange and exotic fruits! It is extremely popular with the locals and offers tremendous deals ..."
"Malou B","Quezon City","September 10, 2015","Local fruits galore","This is the place to taste local fruits like durian, marang, mangosteen. The prices are reasonable. There are tables and chairs for you to enjoy the fruits and plastic gloves and napkins to use for durian. Drinks are also served."
"Quezon City","Quezon City","September 5, 2015","Native fruits galore","The fruits in season in September are durian, mangosteen and rambutan. The pomelo are plentiful but not as sweet. Durian comes in 3 varieties and are cheap (ranging from P30-45); mangosteen (P30 for not so ripe and P40-45 which are dark in color). We ate durian in the place which provides tissue and plastic gloves if you do not want your hands to smell durian. Drinks are also served. There are plastic chairs and tables. A good time to eat durian is after dinner when there are fewer people. We watched a truckload of durian being distributed to the stalls. Since the stalls are beside the road, there are children beggars who approach the customers and are driven away by the stall owners. Smoking is definitely not allowed unless you want to pay a fine of P10,000 ($200)."
