User	Location	Time of Review	Review Title	Review
Niel D	 	" June 5, 2017 "	Great stop over! 	Cool stop over on your trip to davao. Only takes an hour to do and only P80 ($1.6) inclusive of a tour guide. Also educational as they advocate against ocean pollution.
JTMFraginal	"Cainta, Philippines"	" June 1, 2017 "	Bones Galore	"D' Bone Collector Museum houses a private collection of bones of many animals such as dogs, cats, whales, sharks and others. Entrance fee is 80 pesos for an adult and it is compensated by a guided tour for 30 minutes. Afterwhich, you can go around...More"
UsapangGala	"Pasig, Philippines"	" May 11, 2017 "	Very Interesting!	The staff are friendly. They are prepared to answer you questions. Each exhibit has its own story and the staffs assured that the bones in display did came from donations and died of natural causes.
MBDAce	"Quezon City, Philippines"	" May 4, 2017 "	TWO THUMBS UP! A MUST SEE!	This place is simply amazing. Another short stop for our last day in Davao for the entrance of PhP 80 for adults this is not so bad at all. I can't say anything but you need to see this place.
ElizaR131	"Manila, Philippines"	" April 28, 2017 "	Something different from sight seeing and shopping	"When I travel with family, I try to include something educational in the trip. The Bone Collector Museum in Davao City is really very interesting. There is a Php 80 fee for adults and Php 60 fee for children. It includes a tour guide who...More"
Loraine Ruth L	"Davao City, Philippines"	" April 23, 2017 "	Amazing	"I was amazed with their bone collection. Their museum is a 3-floor airconditioned building. They've separated different species like in the 3rd floor, you can find animals that thrive in water and in the second floor, land animals and birds. Tour guide was really accommodating....More"
Bill C	"Davao del Sur Province, Philippines"	" April 22, 2017 "	Wonderful Hidden Gem!	"D’Bone museum is tucked away in a location that forces you to get off the main streets and see life in Davao City. As most of Davao, it is completely safe. The museum is three stories, has air conditioning and is simply amazing. They also...More"
dpalisoc	"Cainta, Philippines"	" April 14, 2017 "	Bone Collector inside!	"Well, what can we expect? Different bones inside, souvenirs are also sold inside the museum. A plus would be the bone collector himself is there cheerful for a photoshoot with you. The place is accessible by a tricycle. Visit the place if you're into bone...More"
iPesky	"Davao City, Philippines"	" April 11, 2017 "	Unexpected!!	"This place doesnt have much ads. Going would also make you think because of the tight street with motorcycles and tricycles everywhere. Once you get near the place, you would notice that the beach is already a few meters away from the building. Once inside,...More"
jedainz	 	 	 	 
"Davao City, Philippines"	"Davao City, Philippines"	" April 6, 2017 "	Informative place	You'll learn a lot of things from this museum. Great for grade school kids and as a learning activity with parents and children.
Aurora M	 	" March 30, 2017 "	Nice place	Nice place. You can see different animal bone collector. The staff is nice. The place is clean. The lady explain clearly about the different bone collector.
maribel_camelotes	"Davao del Sur Province, Philippines"	" March 28, 2017 "	Interesting and Educational	Schools should include this place in their educational field trips. They educate us how to take care of our environment esp proper garbage disposal . Our tour guide Ms. Princess is very accommodating. I'll be back soon bringing with me my friends.
Ken S	 	" March 25, 2017 "	"""Uncle D"" does most of the tours himself!"	"Excellence is what you'll see in how the bones are presented. It's fascinating to see & surprising that this is in Davao. Very informative. There are even skeletons of animals from other parts of the world. It's kind of like the Smithsonian in Washington, DC....More"
travellerheartAU	 	" March 1, 2017 "	Interesting with a real commitment to environmentall friendly practices	"This was an interesting collection!! I was a bit surprised at the sheer number of bones they have. The displays are done very well and the skeletons have been reconstructed really well. The guide was very interesting, and she was keen to share her knowledge...More"
bofordborres	"Manila, Philippines"	" February 22, 2017 "	Specialist museum with a heart for the environment	"The museum is a good place to visit especially for students. They educate the kids about the environment while discussing the exhibits. They also allow picture taking. It is not only reserved for students, I saw one couple stealing 30 minutes of their coffee break."
Lrae_Fernan	"Quezon City, Philippines"	" February 15, 2017 "	Bones Bones Bones!! :)	"My 3 year old baby enjoyed the museum! staff are very accommodating, friendly and informative. We enjoyed the experience!! will recommend visiting this place when travelling to Davao. :)"
Stuart K	"Kent, United Kingdom"	" February 15, 2017 "	museum	"hard place to find its in the middle of small local stores ,will go back again ,and they even asked from what country i was from ,which made me happy"
Greeg G	"Davao City, Philippines"	" February 9, 2017 "	Awesome collection	"Aside from human skeleton, I haven't gone yet to animal bone collection not until I went to D' Bone collector. I was amaze how big are these water creatures and at the same time, I was felt hurt knowing the cause of their death."
Victorianlad	"Melbourne, Australia"	" January 28, 2017 "	Greta dioramas with numerous skeletons	This three storey museum in a narrow street almost opposite a smeily drain is the last pace one might expect to find a premises devoted to trying to educate us about not placing litter so that it flows into waterways and eventually into the world's...More
kishmary	 	 	 	 
Philippines	Philippines	" January 19, 2017 "	Kish bday 	Very educational plus all the bones had their own story. We managed to meet the owner. The staff are well mannered and with full knowledge of each bone story.
NinoLeeZhongPing	"Makati, Philippines"	" December 31, 2016 "	A unique museum focused on animan conservation	"This museaum is dedicated to animal conservation. Thankful that there is one museum in this part of the country that focuses on the topic. The bone collection is unique, very interesting you see the bone composition of creatures as small as a rat to as big as a whale. There are are a few prehistoric pieces at the ground floor and a curio shop.  Ok, while not like the Natiknal Museum, this will do for now. Tour guides talk like a rapid fire machine gun, good thing they allow you to spend more time to appreciate the musuem after their done with guiding you.  This place museum is a must to educated children. I suggest having a vehicle going to and fro the museum."
DonDan16	"Hamburg, Germany"	" December 21, 2016 "	Wow!	Go there! Really impressive. Interesting thing. Good staff. So many collected items. I found lots of things to know. I heard it is run by a foreigner who lives here.
AmorSabella	Davao City Philippines	" November 11, 2016 "	Educational and Amazing	It is in a very unusual Place in the City... but good that they have parking area inside the Museum. The place is very good for kids to explore and spend sometime. You have to pay P80 for Adult and P70 for children. It is nice to take a lot of pictures and look at different kinds of Bones.
Piumal T	"Vilnius, Lithuania"	" October 18, 2016 "	Bones everywhere. Loved it	The place is hidden but if you managed to find one of the most surprising places ever. Lot of skeletons you can see and be surprised of.The collection is well maintained and the owner is super friendly and explained me everything by himself which made me understand lot of new things too. Must visit in Davao
MediciBoy	 	" October 4, 2016 "	Location is not too accessible	The museum is still a work in progress and you can hardly call it a museum at this point since you will find construction crews doing some works and staff sleeping on benches while you're doing your tour and picture taking.
jsvviernes	"Metro Manila, Philippines"	" September 26, 2016 "	Have a Quick Visit.	"First of all Thank You D'Bone Collector Museum we had a great time Me and my Wife. We've been here September 22, 2016. I just wanted to say in this review to just visit this place, it's an Awesome place to go in Davao. The Collection of Bones was really great for me, Sorry guys I really like this place I do appreciate the Bones so much. Please Visit this place the Entrance fee is just 80 pesos with a tour guide who can explain really well.   Tips: I can give you but not guaranteed Okay for you. 1. Visit this place to learn more about the History of their bones and the Story Behind every bone.Their Bones has a Lot of Different Story.Please Visit so you will have more knowledge about the Bones.  2. Entrance Fee with Tour Guide/ Story teller is Only 80 Pesos only very Cheap.  3. Bring your Camera and Selfie stick to take pictures. (No Video I think so)  4. If you want to go there try the Pedicab/Tri-Cycle it's just 5 pesos Only. 10 pesos for two person. short Distance. (for experience only and helping the Locals).  5. Not that Okay for the Senior Citizen or having a hard time going up the stairs because the building has 3 floors. But still it's a good Time to go here and good exercise for everyone. So just Visit this place.  6. Enjoy everything you experience, and lower your expectation.  7. Don't forget to right your name in their log book. Because I did forgot to right there Sorry Bone Collector.  8. If you want to visit here find more information because they are not always open. I just remember that it is just until 5 PM weekdays. and weekends it depends. not sure of the Time.  9. If you wish to go in the D'Bone Collector just ask any local in Davao they know it they are knowledgeable then Ride a Multicab/jeep going there or use Waze or Maps so you could see the place easily. All In All I Really like this place, must visit. Please Visit D/Bone Collector Museum.  Thanks TripAdvisor  All my Comments/review here are on my own"
slazenger552	"Davao City, Philippines"	" September 19, 2016 "	Amazing collections in the world	"At first I was hesitant to go inside the museum, besides the P80 pesos entrance fee. I thought there's nothing interesting to see inside but just purely dried bones we can see on TV shows. But I was impressed when we toured inside and up to the 3rd floor. Lots of bone collections are there which I have not seen in other museums. The tour guide was also very smart and with humor as she explains to us the different sections of the museum. It was a fun and learning experience."
77Raine27	"Cavite Province, Philippines"	" September 8, 2016 "	Quite Interesting	"Entrance fee was for P80. One-of-a-kind museum that is not only educational but also provides insight to help create a clean environment for animal ad mammal protection. The tour guide was the American Darrell Dean Blatchley, who is the president and curator of the D'Bone Collector Museum. There were different species like sharks, whale sharks, fishes, crocodiles, skeletons of various animals even a human skeleton. He would teach you that if we leave trash like plastic bottles this would kill them. "
Butterflyonmyleg	"Muscat, Oman"	" August 31, 2016 "	Excellent Museum Guide. Not for seniors/people with difficulty in climbing stairs	"We had an very informative visit to D'Bone Collector Museum. What a great collections! Our museum guide was so efficient and has explained everything that we needed to know. It was quite exhausting to go up to the 3rd floor and as we were with my mom who has difficulty on climbing stairs, we took time to reach each floor. I hope the management can put an elevator in the future for the comfort of our seniors and handicapped people."
Lawrence A	 	 	 	 
"Quezon City, Philippines"	"Quezon City, Philippines"	" July 24, 2016 "	Bones! Bones!	"If you appreciate fossil art, then this is the place to ve. It's a good place to see bones speak of its ancient past."
LaiCz	"Paranaque, Philippines"	" July 24, 2016 "	A Rare Collection	"A museum where a collection of animal bones from fish, dogs, snakes, horses, crocodile, dolphin, whale, all others and surprisingly a human skeleton are displayed in a 3-story building. Entrance fee is 80 pesos for adults and 70 for kids. We went there on a weekday so we were able to tour the place in a breeze. "
beckscambel	"Quezon City, Philippines"	" July 18, 2016 "	Instructural Museum	We have been here last August 2015. The entrance fee cost roughly P 60.00 per head and it close at around 5pm. Were gladly we reached the place before it close. It been a great experience viewing the collection of different kinds of animals and even the bone of human. I hope they have this kind of museum here in Manila. We are tour the place with this great lecturer man with great knowledge of bone and skeleton.
Andreas S	 	" July 13, 2016 "	A great collection	I agree with others that it is a great educational experience. I nice collection of skeletons of all kind of animals. We spend about 1 hour there with our two boys (9&11) they liked it very much. And learned a lot.
virstud	Caloocan	" July 13, 2016 "	See bones of different animals	"This is within the city near the San Pedro Cathedral. The entrance fee is Php 80 for adult, which contains 3 floors of exhibits. Nothing spectacular and good place to see different set of bones of animals."
Michael L	 	" July 12, 2016 "	Dinosaurs ?	"One of a kind Museum where preserved bones are on display, giving archaeology lessons visually. perfect for students"
JMHerald	 	" July 10, 2016 "	Never expected my visit here would be very educational.	"This is the only bone museum in the Philippines. A range of bones from insects to whales is exhibited in this place. What I like about this place is that the guide really does their job, and they're doing it really well. They explain the differences of the bones, entertains questions well, and tells stories about the origin of the animal before they became a display. Kudos to the owner of the museum and their staff! Hope this museum will continue educating future visitors about the importance of taking care of our environment."
aprilsky2016	"Davao City, Philippines"	" June 9, 2016 "	Let us protect our environment.	When I planned a tour for my family and visitor at D'Bone Collector Museum I just expected to see lot of bones. The placed proved me wrong. The museum attendant brought us to another dimension as she told us the sad stories of most of the animals and how they ended up dead. I highly recommend this to small children so that at an early age they will know how to become responsible caretakers of mother nature.
CaliTo69	Philippines	" June 5, 2016 "	mini Smihsonian museum in Davao	"the place is not well known to many locals. We went to the Davao City Hall to ask for directions but no one seems to know about its existence. Luckily I have a printed map and showed them the location but still they couldn't give an exact answer. So i moved on foot to locate the museum by myself. Upon reaching the place which is located in a narrow road and no direct route by the jeepneys, one has to pay an admission fee of P80 and a guide will tour you around the place. It is a 3 storey museum which houses numerous skeletons, from whales to 1 year old ostrich and a human skeleton of a granny. I can say it is a very mini Smithsonian museum in the country."
Loislim	"Davao City, Philippines"	" May 21, 2016 "	"Very educational, kids and adults must visit"	"This is the only museum of it's kind in the Philippines. Bones collected from different animals are presented in a nice climate controlled place. Beautiful, amazing bone collection of dolphins and sharks and whales that sadly died after ingesting plastics from the sea.  Our guide was very courteous and informative. This is a good way of educating our citizens about taking care of our environment. Good job!!"
yolyg2015	 	 	 	 
"Marikina, Philippines"	"Marikina, Philippines"	" May 19, 2016 "	Educational place to visit	Went to see this Museum and really learned a lot from the collections I saw. Very good to visit as part of educational tour.. Must for students at all levels
Denise Alysson V	 	" May 12, 2016 "	Great place!	"This place was amazing. Our niece enjoyed a lot learning about the animals, where they came from, when did they died, what happened to them and how to protect them. Its a lot of fun! We had enjoyed the tour even if we're only 3. You have to come to this place."
Abi_girl07	 	" April 26, 2016 "	Really nice but the location isn't good.	"I really like the content in the museum  And the guide is also great. So many information being given and I have nothing but praises for the museum but the location is really not good. It's in the squatters area. Wish that they have better location but I'm thinking that it will be hard to transfer all the artifacts. "
wilmagroovy	"Dumaguete City, Philippines"	" April 12, 2016 "	Wonderful and educational.	"I expected the place was just a so,so place but when we entered the building it was full of exciting and useful bones to admire.The young lady who was our guide did a wonderful narration on how the bones where found and preserved so that people can realize the wonders and negligence of some people that causes the death of these animals.You also compare how human and animal bones are similar or different in every aspect.Nice collection and it takes a lot of perseverance,effort and money just to assemble one complete bones of an animal.Congratulations to the owner,Daryl?,for a job well done.Thank you for the unique experience."
Heri s	blitar	" March 23, 2016 "	Unique place	"Nice experience to visited this place, all about bone, from the animal up to human bone, good for parent who bring their child to this place, as education .."
Maria Gracia M	Cainta Rizal	" March 22, 2016 "	Interesting Museum	"This is just a 3 floor museum, not so big but very interesting since they have real bones of different species (from land, sea and air) and more coming soon. Very educational because they have a friendly guide to explain things to you and even take you pictures. The explaining is fast though but they will give you a lot of time to stroll the area. The owner is accommodating too. A foreigner who is very fluent in bisaya and tagalog. Entrance fee is 100 for adults and 80 for kids. "
dimples0983	caloocan	" March 18, 2016 "	Awesome	Pay a visit. Our guide JR was great.. Especially with 3 types of crocs... Darell was also very approaching and friendly to all guests... And not to mention knowledgable.. Ask him questions..
thenavigator8	"Manila, Philippines"	" March 15, 2016 "	Amazing	To see the bones preserved is quite amazing. Though there is an odd smell in the area. THe museum is quite small. Im looking forward to them expanding their collections.
bebepenk	"Imus, Philippines"	" February 29, 2016 "	good people with good purpose	"more than the museum, we were astonished by how warm we were welcomed by the owner and staffs even if it's nearly closing hours already."
Eric E	Philippines	" February 28, 2016 "	The Philippines should be thankful	"I am a fan of animals, especially dinosaurs. Growing up watching Jaws n' Claws, Walking with Dinosaurs and other shows in Discovery, this place gave me that satisfication of how cool it is to know these things and appreciate life on our planet, and how it evolved to the world we know today. I say, the Philippines should be thankful to have this kind of museum. I dont recall any Philippine government-owned institution that has the variety and volume of animal bones that this place has. Okay, I may have missed it if there's any, but really, I dont recall going to a museum like this here in the country. By any effort, the government should support the sustainability and growth of scientific establishments like this one. If you have kids, I recomment you send them here. If you're not a fan of science, dont come here and say you were bored. Museums are very important in the preservation and enrichment of our knowledge and culture. Places like this should not be overlooked. With that, I will give it a 4-star. I will give it 5 someday."
mnjensen	 	 	 	 
"Odense, Denmark"	"Odense, Denmark"	" February 27, 2016 "	A good choice in Davao	This is a good museum ran by an American turned native. For Davao it is an impressive array of old bones from sea creatures.
wildlfower777	"Al Ain, United Arab Emirates"	" February 25, 2016 "	A Museum Like No Other	"D' Bone Collector Museum is a unique kind of a museum because the collections featured are bones, particularly bones of huge sea creatures and other animals of the large structures. Each artifact is showcased in a unique way with its history and significance carefully outlined. The place also offers video shows and lectures about its artifacts and other useful information about sea and land creatures. Awesome and informative!!!"
Valerie L	 	" February 24, 2016 "	very nice	very accommodating and interesting. The owner is hands on and you can really tell that he loves what he's doing. I love how he is trying to share his passion with the world and that he does not do it for the profit. I salute whoever made this because this is the first of its kind I have ever gone to in Davao City. Kudos to this place!!!
JanChen2015	"Singapore, Singapore"	" February 19, 2016 "	Not to be missed!	"We really enjoyed visiting the D'Bone Collector Museum. During our visit, the owner Mr Darrell was busy assembling a skeleton of a dog with his assistance. We can see his dedication and attention to his work. The lady guide was very patient with our numerous questions, and she tried to answer them as best as she could. The bone displays were very neatly done and was very enticing to see. Highly recommended place to visit when in Davao City."
larry0123	"Overland Park, Kansas"	" February 19, 2016 "	take the tour	wow learned more in Philipines than back home in Kansas.it is a must! tuck back off the main road but a have to see place to go in Davao.
Sunshine Tresda... R	"Quezon City, Philippines"	" February 17, 2016 "	We had a great time.	"We visited the museum on our first day in Davao. We were in Davao last week, from February 10 to February 13, 2016. It was not a great deal to visit the place, unlike what we'd heard when we got there. I can't remember the guide's name, but his name sounds Florine, he said it was like chlorine with an F. He was good. He knew what he was saying and we enjoyed his company. I personally isn't too much fond of animals and sort, but I learned a lot with all his knowledge. Plus, the owner is a Datu Bago awardee, meaning he is a great man. Visit this place and surely, you will never regret it."
Ellen Laspobres F	 	" February 5, 2016 "	learn something new....	"i was so pity with these bones of animals. coz every bone of it has its own stories. Mostly of them they die because human disposable garbage like can, straw, made of plastic. and some die also of human hands because of being selfish want to earn money. I learn through this that we, as a human are made to take care of them, not to killed them. remember ""you cannot killed the time, time can kill you"". "
Jake2014jake	"Pasig, Philippines"	" February 2, 2016 "	Sarap to D' Bone!	"You need to ask around a bit in order to locate the museum. While it is in the city center of Davao City, it is not along the main highways or roads but on a smaller street. However, after getting directions, it is not really hard to find. If you have internet based maps or locator applications, use it to quickly reach the place.  This is not your typical museum containing displays of artwork, paintings, and historical artifacts. The museum contains only bones of animals gathered from around the world and from the Philippines. The ground floor, containing the reception area and the souvenir shop, will immediately grab your attention with the fossil of a Velociraptor (dinosaur) unearthed in the Philippines by the owner of the museum, Darrel D. Blatchley. The second floor is dedicated to the bones of land animals like horses, bears, and even common animals like bulls and cats and dogs. On the other hand, the third floor contains displays of the bones of various sea creatures, from whales to sharks to dolphins, and many more. The display of the bones of sea creatures contains detailed accounts of where the animal was found and the circumstances surrounding the death of the animal. Such is aligned with the purpose of the museum which is the preservation of the environment, a laudable cause indeed."
Jay S	"Davao City, Philippines"	" January 28, 2016 "	Went with the kids and had a great time! 	"I went here with the kids of my wife's school. So I tagged along while also bringing along my son.   The tour was great because the main guy was very knowledgeable and had everything memorized to the dot. The kids were not only learning but also laughing because of his humor.   Great time for you and the kids, guaranteed. "
Ashley H	 	" January 15, 2016 "	So much more than a museum!	"Sounded weird at first but you very quickly pick up on the environmental message that comes across with each exhibit and leave thinking about your impact on nature. A great place to take kids but equally as intriguing for all ages. Staff - who take you on a tour of facilities as part of the entrance fee - are friendly and very well informed and the work that has gone into the displays deserves great credit. On the day we visited we were lucky enough to see an autopsy of a dwarf sperm whale (if I'm right) out the back that had beached locally. The owner Darrell Blatchley's young son led us out the back (unsure of where he was leading us) and when we turned the corner we saw the whole bloody scene. Darrell then expertly talked us through the anatomy of the carcass and it's probable cause of death, while his mother supplied us with fresh Aloe Vera for our sunburn. A surreal experience in very friendly family-run surroundings, this is so much more than your usual museum. It's very clear that this is a place run out of love with a very passionate and determined view to improving conservation locally. Everyone should visit to find out how they can help the environment."
Ralph S	 	 	 	 
"San Antonio, Texas"	"San Antonio, Texas"	" January 14, 2016 "	Very interesting place to visit!	This museum is very unique and is run by a very friendly staff. The director won the Datu Bago Award for contributing so much to the community. The displays are works in progress...we will go again soon. Very reasonable admission price that help their conservation efforts.
RJ G	Philippines	" January 11, 2016 "	Fun way to learn;Great for all ages!	"We went to the D'Bone Collector Museum last December 2015 as a big group. Our family had senior citizens, married couples, teenagers and kids in the group and we all learned from the visit. First of all, we would to thank everyone who in one way or the other is part of the maintenance of this very vast collection. Keeping it really clean, organized and fun to visit is key to why we enjoyed our visit. Thanks to your very knowledgeable staff for making our short visit very educational. God bless you all and we will surely recommend your museum to others :)"
Zen A	 	" January 6, 2016 "	Creepy In A Nice Way! #bonespamore	"Since we are pretty new in Davao, hubby and I decided to tour ourselves around the city. The museum is not for free :) though the fee I think is worth the sight that you'll get out of this museum.   Make sure to reach the 3rd floor when you visit. It was a fun learning experience. The owners are nice as well."
elacparl	"Metro Manila, Philippines"	" January 6, 2016 "	Educational	Learned tons of things considering the small size of the museum. It's best to tour around with the owner/bone collector/specialist.
onsadarrab	"Cagayan de Oro, Philippines"	" December 31, 2015 "	Good place	"It's a nice place to drop by. The place is clean and people are very hospitable. You'll learn interesting stories and facts. Please ask for a free tour guide. You can take pictures but not videos. The problem is the road going to the place is so narrow and many ""tricycle"" that makes it more trafic."
Ric S	"Baguio, Philippines"	" December 26, 2015 "	A rare find	"Tourism write-ups, published or online, of this place offer very few clues about the abundance of bone matter it displays. It has an eclectic collection quite interesting not only to biology and anatomy school kids but also to the ordinary visitor who has a fascination with how animals look beneath skin and flesh. The latter is where I belong so spent more time here than I initially thought. Carefully preserved and curated, this place was truly worth my visit."
AniMei1	"Bacolod, Philippines"	" December 21, 2015 "	interesting and educational	"We very much enjoyed it, and learned a lot, too! People who visit Davao should see this place! We thought we already knew a lot but visiting this place made us learn more about mammals, land and sea animals and basically the animal kingdom."
TonyUy	"Davao City, Philippines"	" December 18, 2015 "	Bones are in!	"From the Raptor to the whale, and from the bugs to all sorts of mammals and snakes, one would be in awe to find such treasure cove of bone collection in the country! Surely it's a definite adventure for all ages. Carefully arranged and a story to tell on each of the exhibit, three floors of amazing collections will guarantee your curiosity and tons of added knowledge."
pixiedust010	"Singapore, Singapore"	" December 16, 2015 "	Amazing find	It may not be an ample collection of bones but it's remarkable to have someone who value the preservation of animals bone/ skeleton. I was shocked to see a human skeleton as well. I hope the government will suffice financial support to the museum.
Jeremy N	"Dover, Delaware"	" December 9, 2015 "	Outstanding!	This place is really a best kept secret..alot of taxi drivers dont know where it is but if you tell them Alemandras gym stop its a short walk from there....very interesting and the tour guide we had named Wen was very informative and you could tell she enjoyed her job...the place is very well kept and sooooo many bones from all types of animals and marine life. The area around it may seem seedy to some but rest assured its very nice people and very helpful and you will feel very safe and comfortable...if you are in Davao do not pass up this gem.
HurricaneRob	 	 	 	 
"Houston, Texas"	"Houston, Texas"	" December 3, 2015 "	Bones of all sorts	"We found this museum to be far more than what was expected, in fact the owner gave us some background information"
ingmar b	"Davao City, Philippines"	" December 3, 2015 "	A must see for every person in davao	"it is just a museum with bones. but the staff is knowledgable , full of stories, the walk to the museum is through a squatterarea which is also entertaining. it will take you an hour or so to do the tour."
Li M	 	" December 2, 2015 "	Little adventure 	It's a great place to visit and learn what is not seen everyday. The experience was an eye opener to what we don't see through books and televisions. Definitely recommended to be visited when in davao :)
MarsRK	"Davao City, Philippines"	" November 30, 2015 "	Don't judge a book by its cover.	I went last month with my sister. It was easy to locate considering it's in a poor location but still in the center of the city. The entrance fee for adults is P100.00. It's a weekday and there were only few people at the lobby...More
Elmo B	"Manila, Philippines"	" November 19, 2015 "	"Informative, Realistic, Alien and A Must To Know For Everyone"	Getting Here A bit tricky finding this place. I recommend that one just take a walk from Davao Museum/Museo Dabawenyo. No need to take the tricycle ride that will charge you hefty for a short walk. D' Bone Collector Museum - Floor 1 Pay the...More
Lenore B	"Mandaluyong, Philippines"	" November 9, 2015 "	Back to school	Remembering my younger years when I was in school. The insights provided by the in-house tour guide was very informative. Ideal for school children.
